Category,Question
what,what are the world 's four oceans ?
what,what 's the only work by michelangelo that bears his signature ?
what,what is the largest snake in the world ?
what,in what medium is stuart hamblen considered to be the first singing cowboy ?
unknown,where on the internet can i find a song lyrics database similar to the international lyrics server ?
unknown,how much money does a back injury lawsuit get ?
what,what 's the common name for acetylsalicylic acid ?
what,what does the georgetown `` hoya '' mean ?
unknown,where can i find a list of `` classic '' books 5th and 6th graders should read ?
unknown,which two products use a tiger as their symbol ?
unknown,how is the election of a new pope announced to the world ?
unknown,how long does it take for your blood to make one complete trip through the body ?
unknown,how do chickens have baby chicks ?
what,what is the historical relationship of catholic church and bingo ?
unknown,how was the element calcium named ?
what,what crooner joined the andrews sisters for pistol packin mama ?
what,what piano company claims its product is the `` instrument of the immortals '' ?
unknown,when did the bounty mutiny take place ?
what,what novel inspired the movie bladerunner ?
what,what is a transistor ?
what,what is a film starring jude law ?
what,what hollywood dog died in the arms of jean harlow in 1932 ?
what,what are the most common elements in the earth 's crust ?
unknown,"how much would it cost to purchase a 2-foot-square party tent , with sides , ?"
what,what actress has received the most oscar nominations ?
what,what are equity securities ?
what,what is gymnophobia ?
unknown,how many years do fossils take to form ?
unknown,where is the orinoco ?
what,what was the name of the `` little rascals '' dog ?
what,"what city boasts penn 's landing , on the banks of the delaware river ?"
what,what broadway musical was inspired by cervantes 's don quixote ?
what,"what is the origin of the word , jj ."
unknown,how many hostages were killed in the entebbe raid ?
unknown,how you can raise your iq ?
what,what does inri stand for when used on jesus ' cross ?
who,who produces spumante ?
who,who earns their money the hard way ?
who,who founded the people 's temple commune ?
what,what athlete makes the most money from sports merchandise sales ?
unknown,how many bends are there in a standard paper clip ?
who,who discovered electricity ?
what,what part of your body contains the corpus callosum ?
who,who was the first american in space ?
what,what two south american countries do n't border brazil ?
what,what album put the beatles on the cover of time in 1967 ?
what,"what poem contains the line , `` grow old with me the best is yet to be '' ."
what,what is a dental root canal ?
what,what war did the wanna-go-home riots occur after ?
what,what is the busiest air travel season ?
what,what 's the colored part of the eye called ?
what,what are hook worms ?
unknown,where is the rose bowl played ?
unknown,which japanese car maker had its biggest percentage of sale in the domestic market ?
who,who is the mayor of marbella ?
what,"what sun-blasted , 14-mile wide valley is just north of the mojave desert ?"
what,in what year did thatcher become prime minister ?
unknown,how many months does it take the moon to revolve around the earth ?
unknown,where are the 49 steps ?
what,in what year was de gaulle elected president of france ?
who,who sings the themes for `` dawson 's creek '' and `` felicity '' ?
who,who directed `` jaws '' ?
what,on what t.v. show could tom terrific be found ?
what,what indian tribe is f troop perpetually doing battle with ?
unknown,where did indian pudding come from ?
unknown,why do some clothing labels say `` use a nonchlorine bleach '' ?
unknown,how many colonies were involved in the american revolution ?
what,what is the name of the city that maurizio pellegrin lives in ?
unknown,where can i find pictorial directions on how to build a very simple treehouse ?
unknown,"what game 's board shows the territories of irkutsk , yakutsk and kamchatka ?"
unknown,what is the name of the managing director of apricot computer ?
unknown,what is the occupation of nicholas cage ?
unknown,why do horseshoes bring luck ?
what,"what is the 401 , k , plan ?"
what,what causes pneumonia ?
what,what are the three winter months in the southern hemisphere ?
what,what does gringo mean ?
what,what country contains africa 's northernmost point ?
what,what therapy attempts to elicit the `` primal scream '' ?
unknown,where is the kalahari desert ?
unknown,which ventura county police department seized the largest cocaine shipment in it 's history ?
what,what city is sometimes called gotham ?
what,what dangles over the tongue from the palate ?
who,who created dennis the menace ?
what,what dummy received an honorary degree from northwestern university ?
unknown,when was the first wall street journal published ?
what,what countries have the largest areas of forest ?
unknown,how do i start a web based business ?
unknown,name alvin 's brothers
what,what is eagle 's syndrome styloid process ?
unknown,how did jayne mansfield die ?
when,when did the royal wedding of prince andrew and fergie take place ?
what,what actor said in a day at the races : `` either he 's dead or my watch has stopped '' ?
what,what explorer was nicknamed iberia 's pilot ?
what,cnn began broadcasting in what year ?
what,what is a ball that hits the foul pole called ?
what,what makes hamburgers taste like steakburgers ?
unknown,which company created the internet browser mosaic ?
what,what are the rites accompanying the circumcision of a newly born-child in judaism called ?
what,what was the education system in the 1960 's ?
what,what south american city has the world 's highest commercial landing field ?
unknown,how can i find out which cities have cable-modem access ?
what,what is betsy ross famous for ?
unknown,how many species of sharks are there ?
what,what is `` snoogans '' ?
unknown,how many people are there in the world ?
what,what shrubs can be planted that will be safe from deer ?
what,what organization 's offices were broken into at watergate in 1972 ?
what,what is the design of the ship titanic ?
what,what does s.o.s. stand for ?
unknown,name a technique widely used to detect birth defects ?
what,what is the daily requirement of folic acid for an expectant mother ?
what,what is the `` 7-minute cigarette '' ?
what,what four forms does gold occur in ?
what,what is the acreage of the chappellet vineyard ?
unknown,how do you correctly say the word ` qigong ' ?
when,when did beethoven die ?
unknown,how much does a new railroad coal car cost ?
what,what two european countries entered the war of american independence against the british ?
what,what is the filmmakers collabrative ?
what,what russian composer 's prelude in c sharp minor brought him fame and fortune ?
what,what caused harry houdini 's death ?
who,"who was the mother of the man who would not be king , the duke of windsor ?"
unknown,how many revolutions does a standard lp make in three minutes ?
what,what is the name of the tallest mountain in the world ?
unknown,where can i find a review of nightmare on elm street in a film journal ?
what,what 's the slowest olympic swimming stroke ?
what,what was the name of the first russian astronaut to do a spacewalk ?
what,what disease is transmitted by the anopheles mosquito ?
what,what rum is so `` mixable '' it is a one-brand bar ?
unknown,how many south american countries have the letter z in their names ?
what,what is the contents of proposition 98 ?
unknown,where was george washington born ?
unknown,"how many people on the ground were killed from the bombing of pan am flight 103 over lockerbie , scotland , december 21 , cd ."
who,who wrote nn dt nnp nnp '' ?
what,what is paracetamol ?
what,what are the powers and weaknesses of green lantern 's ring ?
unknown,"which mosquito 's bite draws blood , dt nn cc dt nn ."
when,when was the first steel mill in the united states built ?
what,what diminutive american female gymnast stole the show at the 1984 olympics ?
what,what is the origin of the name katie ?
what,"what schools in the washington , dc nn nn vbp nn nn nn nn ."
unknown,when did the berlin wall go up ?
who,who is terrence malick ?
what,what instrument is ray charles best known for playing ?
what,"what 's the meaning of the latin battle cry : ad arma , ad arma ."
what,what is the mascot for notre dame university ?
what,"what las vegas hotel burned in november , 1980 , with the loss of 84 lives ?"
when,when did mount st. helen last have a significant eruption ?
what,cnn is the abbreviation for what ?
when,when did world war i start ?
unknown,how many feet are there in a fathom ?
what,what is a canada two-penny black ?
what,what european city do nicois live in ?
unknown,how can i find out what year a beanie baby was introduced ?
what,what is the classic definition of tragic hero ?
what,to what does microsoft 's windows 3 owe its success ?
who,who was president of afghanistan in 1994 ?
what,"what are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?"
what,what did brontosauruses eat ?
what,what color bottles do good rhine wines come in ?
who,who was the lead actress in the movie ` sleepless in seattle ' ?
who,who was the 16th president of the united states ?
who,who are the two sons of ozzie and harriet nelson ?
what,what is molybdenum ?
when,when is boxing day ?
what,what is the lowest level of the american judiciary ?
when,when was the battle of the somme fought ?
unknown,how many people did randy craft kill ?
what,what 's the official animal of canada ?
when,when did spielberg direct `` jaws '' ?
what,what is the size of the largest akita ?
what,what animal has the biggest eyes ?
what,what is california 's capital ?
who,who was the author of the book about computer hackers called `` the cuckoo 's egg : tracking a spy through the maze of computer espionage '' ?
who,who was the founding member of the pink floyd band ?
what,what european country is home to the beer-producing city of budweis ?
unknown,how do i find the balance of my social security account ?
what,what is the history of valentine 's day cards ?
unknown,where was christopher columbus born ?
what,what do italians call florence ?
unknown,how do you get to the top of the eiffel tower ?
what,what does ` psi ' stand for ?
what,what sea did the romans call mare nostrum ?
what,what 's the term for a bet before cards are dealt ?
unknown,"which came first , according to genesis 1 : 2 : 22 - the chicken or the egg ?"
what,what city did the flintstones live in ?
what,what is latin for incompetent ?
what,what chemicals are used in lethal injection ?
what,what toy company is the world 's no.1 maker of female apparel ?
what,what board game does a `` wood-pusher '' play poorly ?
unknown,which doonesbury character was likely to turn into a werewolf ?
what,what is the abbreviation for micro ?
what,what are the 7 articles of the constitution ?
who,who has won the most super bowls ?
what,what does nasdaq stand for ?
what,what is bph ?
what,what is the fastest commercial automobile that can be bought in the us ?
what,what stadium do the miami dolphins play their home games in ?
who,who has the only speaking role in `` silent movie '' ?
unknown,why is poop sometimes different colors ?
what,what was einstein 's iq ?
what,what day was pearl harbor attacked in 1942 ?
what,what girl 's name is `` teddy '' an affectionate form of ?
what,what state is john f. kennedy buried in ?
what,what is the best way to remove wallpaper ?
what,what u.s. state has an element named for it ?
what,what company tabulates the ballots in voting for the academy awards ?
unknown,how did the tradition of best man start ?
unknown,how many years ago did the ship titanic sink ?
what,what is the deepest area of the arctic ocean ?
what,what are halloween 's colors ?
unknown,how is silk screening done ?
what,"what is the latitude and longitude of el paso , texas ?"
who,who made a boat out of gopher wood ?
unknown,where can i find a `` fifth element '' screensaver ?
unknown,which bloom county resident wreaks havoc with a computer ?
unknown,how do you match a name to a social security number ?
unknown,how does a rainbow form ?
what,what is the normal resting heart rate of a healthy adult ?
what,what is the population of ohio ?
unknown,how many calories are there in a big mac ?
what,hazmat stands for what ?
what,what creature scares people in the film `` jaws '' ?
what,what part did john peter zenger play in the deveopment of the newspaper in america ?
who,who followed caesar ?
what,what are the four elements ?
who,who was the first woman golfer to earn a million ?
what,what 's the tallest piece on a chessboard ?
what,what is answers.com 's address ?
unknown,where can i buy movies on videotape online ?
who,who does the advertizing for frito-lay ?
who,who is the leading competitor of trans union company ?
what,what product did robert conrad dare people to knock off his shoulder ?
who,who invented the radio ?
what,what 's the american dollar equivalent for 8 pounds in the u.k. ?
what,what are the different approaches of systems analysis ?
unknown,how do doctors diagnose bone cancer ?
who,who is the man behind the pig-the man who pulls the strings and speaks for miss piggy ?
what,what is the speed of the mississippi river ?
what,what are the developmental stages of a swimmer ?
what,what actor first portrayed james bond ?
what,what ocean is the largest in the world ?
who,"who was the first american poet to win the nobel prize for literature , in 1948 ?"
what,what year did jack nicklaus join the professional golfers association tour ?
unknown,how many sonnets did shakespeare write ?
what,what causes the redness in your cheeks when you blush ?
who,who won the nobel peace prize in 1991 ?
who,who are the challengers of the unknown ?
affirmation,define the pheonix club ?
unknown,which city did christian crusaders fight to recapture from the muslims ?
what,what does it mean `` rupee depreciates '' ?
what,what gaming devices were dubbed `` mississippi marbles '' and `` memphis dominoes '' ?
who,who was the first coach of the cleveland browns ?
unknown,how successful is arometherapy ?
what,what jewish holiday saw the start of the 1973 mideast war ?
unknown,how does a copier work ?
what,what is the speed of the mississippi river ?
who,who said of super bowl iii in 1969 : `` we 'll win- i guarantee it '' ?
what,what is dudley do-right 's horse 's name ?
who,who declared : `` i am down on whores and i shan 't stop ripping them '' ?
unknown,where does chocolate come from ?
what,what tv game show once saw a contestant admit to picking his toes in the shower ?
what,what soviet leader owned a rolls-royce ?
unknown,where can i find a case on individuals with disabilities education act of 1991 ?
what,what war did florence nightingale tend the troops in ?
who,"who wrote the song , `` stardust '' ?"
unknown,how many beatles ' records went #1 ?
who,who is the only prime minister of canada to serve 22 years but not necessarily consecutively ?
what,what is the abbreviation of the company name ` general motors ' ?
what,what mountains lie between the arkansas and missouri rivers ?
who,who received the will rogers award in 1989 ?
what,what is the function of ram ?
what,what 's the closest g2 spectrum yellow dwarf to earth ?
unknown,how many equal angles are there in an isosceles triangle ?
what,what is the fear of cockroaches called ?
what,what cbs soap opera was interrupted by the bulletin of john f. kennedy 's assassination ?
what,what is the use of a 24-hour clock instead of a 12-hour clock ?
what,what was the name of the lawyer who represented randy craft ?
what,what united states president had dreamed that he was assassinated ?
what,what film did lee marvin win the 1965 best actor oscar for ?
unknown,where is basque country located ?
what,what product does `` mrs. olsen '' promote ?
when,what time of day did emperor hirohito die ?
what,what is dry ice ?
what,what 's the most powerful card in euchre ?
what,what does `` intractable plantar keratoma '' mean ?
unknown,how many years did it take james joyce to write ulysses ?
what,what crop failure caused the irish famine ?
what,what south korean city is served by kimpo international airport ?
unknown,how many types of dogs ' tails are there - three
what,what is the longest-running television series ?
what,what predators exist on antarctica ?
what,what is the difference between a generator and an alternator ?
unknown,how is energy created ?
what,what beer advertised that it had `` three rings '' ?
what,what is the quantity of american soldiers still unaccounted for from the vietnam war ?
what,what golfing accessory was patented by george grant on december 12
what,what are the different types of plastic ?
unknown,how is it correct to say ` qigong ' ?
what,what was the highest mountain on earth before mount everest was discovered ?
unknown,"where was the ligurian republic , 1797-185 , ?"
what,what country 's people are the top television watchers ?
when,when was the women 's suffrage amendment ratified ?
what,what polynesian people inhabit new zealand ?
what,what movie tour of the roman empire features the admonition : `` row well and live '' ?
what,what nevada center has been dubbed the biggest little city in the world ?
what,"what president lived at 219 north delaware street , independence , missouri ?"
affirmation,give a reason for american indians oftentimes dropping out of school .
unknown,where must a soccer goalie stand to be permitted to handle the ball ?
what,what is the difference between classical conditioning and operant conditioning ?
unknown,in what u.s. state was the first woman governor elected ?
what,what are some interesting facts and information about dogsledding ?
what,what year did hitler die ?
what,what famous model was married to billy joel ?
what,what kind of animal is babar ?
what,what is jane goodall known for ?
what,what killed bob marley ?
unknown,how much money are dumbo 's ears insured for ?
who,who danced into stardom with fred astaire in 1941 's you 'll never get rich ?
who,who is stein eriksen ?
what,what does the name billie mean ?
who,who is the fastest swimmer in the world ?
what,what is the highest peak in africa ?
unknown,where is procter & gamble headquartered in the u.s. ?
what,what desert has been called the garden of allah ?
what,what do bicornate animals have two of ?
what,what function does a community 's water tower serve ?
what,what is a fear of weakness ?
unknown,how many miles is it to ohio from north carolina ?
unknown,how much snow equals an inch of rain ?
what,what does g.m.t. stand for ?
what,what does inuit and eskimo mean ?
what,what song served as the closing theme of the johnny cash show ?
what,what field sport did dentist william beers promote and write a standard book of rules for ?
unknown,how do i tie dye clothes ?
when,when does the average teenager first have intercourse ?
unknown,why doesn 't www.answers.com have any answers to my questions ?
what,what actor 's autobiography is titled all my yesterdays ?
what,what russian master spy lived in the u.s. under the name emil goldfus ?
unknown,where 's the 19th hole on a golf course ?
what,what 's nature 's purpose for tornadoes ?
who,who played the original charlie 's angels ?
unknown,where can i find a person 's address from a telephone number ?
what,"what english word comes from the old french covrefeu , meaning cover fire ?"
what,what musical instrument did prewitt play in james jones 's from here to eternity ?
unknown,where did sarge steel get his metal hand ?
what,what makes popcorn pop ?
who,who wrote the night of the iguana ?
unknown,where does your hair grow the fastest ?
what,what country did king gustav v reign over from 197 to 195 ?
who,who painted mother and child ?
what,what is the speed of the mississippi river ?
what,in what area of the world was the six day war fought ?
what,what is the brightest star visible from earth ?
what,what film marked robert redford 's directorial debut ?
what,what was mao 's second name ?
what,what film or films has jude law appeared in ?
unknown,where do hyenas live ?
who,who is the `` queen mother '' ?
what,what 's the most commonly-spoken language in belgium ?
who,who has more dna - a man or a woman ?
what,what are maid-rites ?
what,"what children 's tale contains the line : `` come , cinderslut , and hold this skein of wool for me '' ?"
what,what level of government or governmental agency is responsible for dealing with racism ?
unknown,how many referees work a soccer game ?
what,what cocktail do you concoct with whisky and sweet vermouth ?
unknown,how do you say `` fresh '' in spanish ?
what,what do bee hives do in cranberry bogs ?
what,what caused the lynmouth floods ?
what,when is the tulip festival in michigan ?
who,"who came up with the name , el nino ?"
what,what movie did madilyn kahn star in with gene wilder ?
what,what type of bridge is the golden gate bridge ?
what,what dictator has the nickname `` el maximo '' ?
what,what stereo manufacturer is `` slightly ahead of its time '' ?
what,what u.s. city is the queen of the pacific ?
what,what tv sitcom character had the maiden name ethel potter ?
what,what was the first lifesaver flavor ?
who,who kept the most famous diary in the english language ?
unknown,where can i find out the top 1 singles ?
unknown,how many degrees cooler is the inside of a cucumber than the air outside ?
what,what spanish artist painted crucifixion ?
what,what is the jewish bible called ?
unknown,why is the grass green ?
what,what is a firewall ?
what,what spy novelist served as moscow correspondent for reuter and the times of london ?
unknown,which oil company almost picked a word that meant `` stalled car '' in japanese as its new international name ?
unknown,how long does it take for spider-man 's web to evaporate ?
who,who was randy steven craft 's lawyer ?
what,what was known as the spice island ?
what,who was the first host of person to person ?
unknown,name the ranger who was always after yogi bear .
what,"what deck of cards includes the wheel of fortune , the lovers , and death ?"
what,what does the statue of liberty wear on her feet ?
who,who is the superstar in rent-a-cars ?
what,mccarren airport is located in what city ?
what,"what household facility contains a float ball , ballcock , and overflow tube ?"
what,what was the name of betty boop 's dog ?
what,what fraction of a beaver 's life is spent swimming ?
what,what was the bridge of san luis rey made of ?
what,what do economists do ?
what,what country has the largest sheep population ?
what,"what do i need to do to take my dog with me to live in dominica , west indies for a year ?"
what,what country is the world 's largest importer of cognac ?
unknown,how many years is johnnie walker black label aged ?
what,what does sids stand for ?
what,what is grenada 's main commodity export ?
unknown,"how much would a black-and-white 1-cent stamp be worth , thomas jefferson on it , ?"
what,what makes a clitoris sensitive ?
what,"what country has the most time zones , with 11 ?"
what,what `` magic '' does mandrake employ ?
who,who is the president of stanford university ?
unknown,whose first presidential order was : `` let 's get this goddamn thing airborne '' ?
what,"what was introduced commercially by bayer a.g. of leverkusen , in 1899 ?"
what,what city is logan airport in ?
what,what is a nanometer ?
unknown,how many innings are there in a regulation softball game ?
when,when did cnn go on the air ?
what,what is the largest city on the great lakes ?
what,what is the telephone number for the university of kentucky ?
who,who invented baseball ?
unknown,how many wives did brigham young have ?
what,what product on the market is good for hiding facial scars ?
unknown,how long is the coney island boardwalk ?
what,what city gained renown for its pea-soup fogs ?
what,what does `` janelle '' mean ?
unknown,how do i get another city 's newspaper ?
unknown,name a movie about the sioux indians starring kevin costner .
who,"who was shot in the back during a poker game in deadwood , the dakota territory ?"
what,what are the distinct physical characterstics of the arabian horse ?
what,what is a fear of thunder ?
what,what animal has killed the most people ?
unknown,how many colleges are in wyoming ?
what,what russian seaport has a name meaning `` lord of the east '' ?
unknown,where can stocks be traded on-line ?
when,when was the battle of hastings ?
what,what kind of file has the extension .dbf ?
when,when did muhammad live ?
what,"what then-derogatory term was applied to the painters monet , sisley , pissarro , renoir and degas ?"
what,what is a wop ?
unknown,where do rocks come from ?
unknown,how do i stop background noise in a car stereo ?
unknown,where do people mountain climb in nepal ?
what,what is the best college in the country ?
what,what is viscosity ?
what,what was the name of the sitcom that alyssa milano starred in with tony danza ?
what,what are the nordic nations ?
unknown,where on the internet can i get information about the fifth amendment on the american bill of rights ?
what,what u.s. state borders illinois to the north ?
unknown,name a film in which jude law acted .
what,what is the temperature for baking peachy oat muffins ?
what,what is a fear of bees ?
what,what vladimir nabokov novel features professor humbert in love with a 12-year-old girl ?
what,what is a green bog ?
unknown,where did the myth of santa claus originate ?
what,what does a chairbound basophobic fear ?
what,what city is served by logan international airport ?
what,what wrestling star became `` the incredible hulk '' ?
what,what attracts tourists to reims ?
what,what game do steve mcqueen and edward g. robinson play in the cincinnati kid ?
what,what fastener did whitcomb judson patent in 1893 ?
what,what 's an auberge in france ?
who,who was the star of the 1965 broadway hit golden boy ?
unknown,where is procter & gamble based in the u.s. ?
what,what army was founded by william booth and his wife catherine ?
what,what does ribavirin consist of ?
unknown,name the soft drink that is `` number one in the sun . ''
what,what is the web address of the list of e-mail addresses of members of the house of representatives ?
what,what was her real name ?
unknown,why are the ears your center of balance ?
who,who invented the toothbrush ?
what,what was the name of that popular song the creeps sang ?
unknown,where is the abominable snowman said to wander ?
what,what is a fear of being alone ?
unknown,how many dots make up the symbol for `` because '' ?
what,what do you get by adding lactobacillus bulgaricus to milk ?
when,"when reading classified ads , what does eenty : other stand for ?"
unknown,how many hearts does an octopus have ?
what,what plant has the largest seed ?
what,what was the only country you were allowed to drive into israel from in 1979 ?
what,what 's approaching when a cyclist shouts : `` oil '' ?
what,"what baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?"
what,what kind of sport is often associated with hooligans ?
what,what video game hero do some of his fans call chomper ?
unknown,how many holes are there in a tenpin bowling ball ?
what,what is the longest word in the english language ?
what,in what city or state do the most gay men live in ?
what,"what tv comediennes 's characters include former movie star nora desmond , secretary mrs. wiggins and a housewife named eunice ?"
what,what is `` the bear of beers '' ?
unknown,name the operating system that runs on ibm-compatible machines .
what,what does the name `` justin '' mean ?
what,what percentage of the body is muscle ?
what,what color of dry wine should be served with veal roasts and chops ?
what,what is a golf ball made of ?
what,what is the amish religion ?
what,what does an average daycare provider get paid in new england ?
what,what was the name of the 187s irish terrorist group in pennsylvania mining areas ?
who,who played the ringo kid in the 1939 film stagecoach ?
who,who died 1 feet from where john f. kennedy did ?
what,what is the `` coppertop '' battery ?
what,what sign is the water carrier the zodiacal symbol for ?
what,what animals do you find in the stock market ?
what,what is color ?
when,when is the site www.questions.com going to open ?
what,what did shostakovich write for rostropovich ?
what,what first name was nipsy russell given at birth ?
unknown,how can i get some free technical information on electric vehicle ?
who,who is the youngest of the beatles ?
unknown,how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?
what,what is a jellicle cat ?
unknown,where can i find the best free evidence for debate about russia ?
what,what is bill gates of microsoft e-mail address ?
what,what is the second hardest substance ?
unknown,why did several san diego schools stop serving apples to students ?
what,what russian city boasts the hermitage museum ?
when,when is bastille day ?
what,what makes a tornado turn ?
unknown,how many shots can a stock m16 hold ?
what,what two colors are you blind to if you suffer from protanopia ?
unknown,why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?
who,who is coronado ?
what,what was the name of the movie that starred sharon stone and arnold schwarzenegger ?
what,what is artificial intelligence ?
what,what do flatfish eat ?
who,who was the first holy roman emperor ?
what,what can i use to remove the stubborn gummed labels from some diskettes ?
what,what day of the week sees the most fatal car accidents ?
what,"what is the origin of the word , magic ?"
what,what sport do you shag flies in ?
what,what is white chocolate ?
unknown,where is trinidad ?
unknown,name the organization that is presided by a security council .
who,"who graced the airwaves with such pearls as `` do ya lo-o-ove me ? get naked , baby ! '' ?"
what,what kind of wine is spumante ?
what,who portrayed portly criminologist carl hyatt on checkmate ?
unknown,how do you say i love you in spanish ?
what,what does the name gina mean ?
what,what is the most advanced handheld calculator in the world ?
unknown,how fast is light ?
what,what is the belt of low pressure around the equator called ?
what,what are shooting stars ?
unknown,whom did the chicago bulls beat in the 1993 championship ?
when,when was the first american encyclopedia published ?
what,what 's the tallest building in new york city ?
unknown,how is easter sunday 's date determined ?
what,what is the motto for the state of maryland ?
who,who is desmond tutu ?
unknown,where can i find information on the narragansett indians and other tribes in rhode island ?
unknown,name a tiger that is extinct .
unknown,how many quarters equal a pound ?
what,what kind of books does fodor 's publish ?
what,"what are the first names of rowan and martin , the stars of tv 's laugh-in ?"
what,what chapter of the bible has the most verses ?
who,who is the worst us president ever ?
what,what asian leader was known as the little brown saint ?
what,what is the abbreviated expression for the national bureau of investigation ?
unknown,how fast does the fastest car go ?
what,what is the highest mountain in the world ?
what,what arch can you see from the place de la concorde ?
who,who sings the song `` drink to me with thine eyes '' by ben johnson ?
unknown,how long should a person wash their hands before they are clean ?
unknown,which way do you turn your bic to increase the flame - clockwise or counterclockwise ?
unknown,which is the wealthiest country in the world ?
unknown,how can i find a phone number of someone if i only know their email address ?
unknown,how can you contact play producers and promoters on-line ?
who,who is the monarch of the united kingdom ?
what,what is a fear of passing high objects ?
what,what do players try to do when the music stops in a game of musical chairs ?
what,what are the top ten most common girl names in the us ?
unknown,why is black the color of mourning in the west ?
what,what is the rarest coin ?
what,what judith rossner novel was made into a film starring diane keaton ?
unknown,which country is australia 's largest export market ?
unknown,where is the kentucky horse park located ?
what,what is a fear of parasites ?
unknown,in what olympic games did nadia comaneci become popular ?
who,who does data collection in tourism ?
what,what was the name of the daughter of the virginia chief powhatan that married john rolfe ?
what,what is the leading pecan and peanut growing state ?
what,what does a nihilist believe in ?
